Буенос-Айрес Кордова Санта-Фе Мерло Сальта Коррієнтес Парана Кільмес Сан-Рафаель Росаріо Ла-Плата Посадас Пілар Ланус Неукен
0 696 468 43 1466 917 500 21 983 297 58 1000 499 13 1142
696 0 360 697 876 901 388 717 701 401 753 696 657 710 1139
468 360 0 470 1034 566 31 13 927 173 525 468 430 482 1318
43 697 470 0 1492 919 496 59 950 301 95 44 30 42 1107
1466 876 1034 1492 0 836 1065 1478 1481 1171 1548 1465 1452 1480 1975
917 901 566 919 836 0 581 937 1471 731 975 916 879 930 1951
500 388 31 496 1065 581 0 521 953 205 551 499 456 513 1344
21 717 13 59 1478 937 521 0 1000 320 40 22 81 19 1158
983 701 927 950 1481 1471 953 1000 0 877 1036 984 935 983 584
297 401 173 301 1171 731 205 320 877 0 357 297 261 311 1150
58 753 525 95 1548 975 551 40 1036 297 0 57 116 66 1163
1000 696 468 44 1465 916 499 22 984 261 57 0 58 14 1144
499 657 430 30 1452 879 456 81 935 311 116 58 0 63 1091
13 710 482 42 1480 930 513 19 983 1150 66 14 63 0 1136
1142 1139 1318 1107 1975 1951 1344 1158 584 1150 1163 1144 1091 1136 0
